index_no	collection	resource_id	title	author	post_created_at	source_url	tags	source_status_existing	source_disposition_existing	source_confidence_existing	topic_primary	topic_secondary	content_chars	content_quality	index_use	method_or_external_reference	user_fact_boundary	evidence_level	full_distill_recommended	uncertainty_flags	has_media	has_comments	duplicate_resource_id	source_path
015	Bookmarks	6a76d28f0000000026036444	0实习双非硕｜备战秋招	木兔	2026-08-08T06:54:07.000Z	https://www.xiaohongshu.com/explore/6a76d28f0000000026036444?xsec_token=AB3xaJhzQS7I7DQ1dotf3Dot7iLRJBZBHySLWhoIDZtR8%3D	none	domain-referenced	external-reference	medium	embedded-career	embedded-technical;career-and-employment;ai-agent-workflow;knowledge-management	260	prose	方法候选（学习路线/复习流程）	可吸收：把基础语言、系统/驱动、RTOS/通信、项目与投递串成阶段路线，用项目输出检验进度；原帖顺序需按目标岗位调整	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实	E2	yes	none;duplicate-resource-across-collections	yes	yes	yes	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/0实习双非硕｜备战秋招 - 6a76d28f0000000026036444.md
016	Bookmarks	6a69d2e9000000001d00fd7f	1000个开源项目拆解：Opencodex接入多AI	DAYU大渔	2026-07-29T10:16:09.000Z	https://www.xiaohongshu.com/explore/6a69d2e9000000001d00fd7f?xsec_token=ABQfpRvOY2iC1iwkwHwmipn4SWsjcHcOZYk4ZgihLJl1M%3D	好玩的 ai;6a566b6900000000320201b0	domain-referenced	external-reference	medium	ai-agent-workflow	none	590	prose	方法候选（工具配置/用量管理）	可吸收：按任务分层、记录用量、切换模型/Provider并保留人工确认；额度、价格、兼容性和省钱比例是时效性外部声明	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实	E2	yes	time-version-sensitive	yes	no	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/1000个开源项目拆解：Opencodex接入多AI - 6a69d2e9000000001d00fd7f.md
017	Bookmarks	6a54bbc60000000017029090	10万+看过的额度插件更新上线啦✨	Change设计师	2026-07-13T10:19:50.000Z	https://www.xiaohongshu.com/explore/6a54bbc60000000017029090?xsec_token=ABUm8Pm8Vgxr-YulZdZUd1-l8FObH9Q3GkJVqlD51ISzE%3D	howto用好AI;codex;额度查看;设计审美;quotafloat;vibecoding	domain-referenced	external-reference	medium	ai-knowledge-workflow	ai-agent-workflow;knowledge-management;apple-digital	163	prose	方法候选（工具配置/用量管理）	可吸收：按任务分层、记录用量、切换模型/Provider并保留人工确认；额度、价格、兼容性和省钱比例是时效性外部声明	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E1	maybe	marketing-or-outcome-claim;star-view-like-claim;time-version-sensitive;media-needs-review	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/10万+看过的额度插件更新上线啦✨ - 6a54bbc60000000017029090.md
018	Bookmarks	6a4ab0ad000000000f01ec33	2026 年还在手动投简历？在起跑线上输麻了	Mr. Weirdo	2026-07-05T19:29:49.000Z	https://www.xiaohongshu.com/explore/6a4ab0ad000000000f01ec33?xsec_token=ABWfGTFgXFuM5fOJ8CxGkuZx8quLK9VqlrITpjrChbWEc%3D	REDSkill大赏;REDSkill;AI求职;找实习;claude;Codex;北美求职;vibecoding;AI人工智能	domain-referenced	external-reference	medium	ai-agent-workflow	career-and-employment;apple-digital	874	prose	方法候选（AI辅助求职/面试流程）	可吸收：把输入材料、岗位/问题拆解、生成草稿、人工核验和复盘串成工作流；工具名称、效果数字和“offer”需独立验证	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E2	maybe	time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/2026 年还在手动投简历？在起跑线上输麻了 - 6a4ab0ad000000000f01ec33.md
019	Bookmarks	6a4caae600000000070277be	2026图文创作Skill清单，少装一个都亏	铲屎官阿沐的Ai日常	2026-07-07T07:29:42.000Z	https://www.xiaohongshu.com/explore/6a4caae600000000070277be?xsec_token=ABaYtHj7wfsf7Jghsr6tROujshjvsGKecXV6LQIbBO1uI%3D	ClaudeCode;图文创作;小红书运营;自媒体工具;AI效率;内容创作;Skill推荐;REDSkill	domain-referenced	external-reference	medium	ai-knowledge-workflow	ai-agent-workflow;knowledge-management;consumer-lifestyle	599	prose	方法候选（工具配置/用量管理）	可吸收：按任务分层、记录用量、切换模型/Provider并保留人工确认；额度、价格、兼容性和省钱比例是时效性外部声明	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E2	yes	marketing-or-outcome-claim;star-view-like-claim;time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/2026图文创作Skill清单，少装一个都亏 - 6a4caae600000000070277be.md
020	Bookmarks	6a585e7c000000000f03cba8	2026年，这可能是最爽的远程Coding方式...	数字生命卡兹克	2026-07-16T04:30:52.000Z	https://www.xiaohongshu.com/explore/6a585e7c000000000f03cba8?xsec_token=AB-YMJcokH7AaLlB1bYeGP0ADSdg2l3yxRydwknelAIE8%3D	AI;AIChannel;AI工具;个人开发者;vibecoding;AI新手村;howto用好AI;人工智能;数字生命卡兹克	domain-referenced	external-reference	medium	ai-agent-workflow	none	461	prose	方法候选（工具工作流）	可吸收：记录触发条件、输入输出、验证步骤和复用边界，再评估工具是否值得安装；版本、兼容性、Star/浏览量与效果数字需核验	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E2	yes	time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/2026年，这可能是最爽的远程Coding方式... - 6a585e7c000000000f03cba8.md
021	Bookmarks	6a6497d4000000000301e889	2026还买 M1 Pro MacBook Pro？	大花活河蛤蟆	2026-07-25T11:02:45.000Z	https://www.xiaohongshu.com/explore/6a6497d4000000000301e889?xsec_token=ABzpAHXOD0nNT1GzbOZo7ZnGtJl3iuaKhcPOcPsEduYiE%3D	macbook;MPB;二手笔记本电脑	domain-referenced	external-reference	medium	ai-agent-workflow	apple-digital	698	prose	方法候选（知识库/笔记工作流）	可吸收：把输入、结构化、链接/检索、复习与输出串成知识库闭环；插件、同步和工具能力需按当前环境复核	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E2	yes	time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/2026还买 M1 Pro MacBook Pro？ - 6a6497d4000000000301e889.md
022	Bookmarks	6a6307ee0000000001001536	264分复试0淘汰！安徽理工大学录取221人！	研途电气考研	2026-07-24T06:36:30.000Z	https://www.xiaohongshu.com/explore/6a6307ee0000000001001536?xsec_token=ABt0FYx92i4ERBTYlwHHAQEfzXPYk9QMi82HPRSjLIOLQ%3D	安徽理工大学考研;电气考研;811电力电子;安徽理工811;考研考情;电气专硕;考研择校;电力电子考研;安徽电网就业	domain-referenced	external-reference	medium	graduate-research	career-and-employment;consumer-lifestyle	902	prose	仅外部参考（考情/个人经历）	仅作考情、学校/导师/就业去向或个人经历线索；数字和结论不直接转为事实	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实	E2	maybe	marketing-or-outcome-claim;offer-salary-admission-claim;time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/264分复试0淘汰！安徽理工大学录取221人！ - 6a6307ee0000000001001536.md
023	Bookmarks	6a60deff000000000f009ee2	26届小米秋招一面面经(含答案)-嵌入式软件	布川NeiCool	2026-07-22T15:17:19.000Z	https://www.xiaohongshu.com/explore/6a60deff000000000f009ee2?xsec_token=ABJyB7pEsHFaTKk7-yBbS-tjR4QVftkbigLJbxPza1WjE%3D	嵌入式软件工程师;秋招;实习内推;小米;嵌入式开发;小米嵌入式;6a2156380000000032032bd6	domain-referenced	external-reference	medium	embedded-career	embedded-technical;career-and-employment	9	short-or-media-led	仅外部参考（正文不足）	正文过短或主要依赖图片/视频；只登记标题、作者与原链，全文/媒体需另行核验	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实	E1	maybe	media-needs-review	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/26届小米秋招一面面经(含答案)-嵌入式软件 - 6a60deff000000000f009ee2.md
024	Bookmarks	6a7c3ed1000000002c003c80	27届嵌入式，简历没改完能先投吗	胜哥-嵌入式面试官	2026-08-12T10:52:02.000Z	https://www.xiaohongshu.com/explore/6a7c3ed1000000002c003c80?xsec_token=ABzGsUvRAjDDYj6jDPA4vbLrqxjbngyl1SHzUH7ui_Fe4%3D	27届秋招;嵌入式;嵌入式开发;嵌入式面试;嵌入式简历;单片机;STM32;C语言;秋招;应届生求职	domain-referenced	external-reference	medium	embedded-career	embedded-technical;career-and-employment;graduate-research	564	prose	案例/题目清单（外部参考）	可吸收：按 C/C++、MCU/RTOS、通信、Linux/驱动和项目深挖分组；“被问到”只是题目线索，答案回到本地源码/文档验证	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E2	yes	time-version-sensitive;duplicate-resource-across-collections	yes	no	yes	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/27届嵌入式，简历没改完能先投吗 - 6a7c3ed1000000002c003c80.md
025	Bookmarks	6a7a7d3d0000000026034950	27岁嵌入式每周3场面试，上岸后真感受	再吃亿大口	2026-08-11T01:39:09.000Z	https://www.xiaohongshu.com/explore/6a7a7d3d0000000026034950?xsec_token=ABg5aqXZD-XXY0ZMBRwfRkrD_Y832CC4w3_y3fOG1FTsw%3D	嵌入式;嵌入式面试;单片机;电气自动化;电子信息;嵌入式开发;c语言;嵌入式学习;STM32单片机;程序员;嵌入式面经;69f3879d0000000032020e1f	domain-referenced	external-reference	medium	embedded-career	embedded-technical;career-and-employment;knowledge-management;health-lifestyle	887	prose	案例/题目清单（外部参考）	可吸收：按 C/C++、MCU/RTOS、通信、Linux/驱动和项目深挖分组；“被问到”只是题目线索，答案回到本地源码/文档验证	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E3	yes	marketing-or-outcome-claim;offer-salary-admission-claim;time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/27岁嵌入式每周3场面试，上岸后真感受 - 6a7a7d3d0000000026034950.md
026	Bookmarks	6a44e70c000000001603c0fc	4个skill就能实现Obsidian+Codex 文献阅读	catrabbit	2026-07-01T10:08:12.000Z	https://www.xiaohongshu.com/explore/6a44e70c000000001603c0fc?xsec_token=AB7YHIgYniLr8zaPm2nw1qDUXcy8cIwKLV5qAaiYqhTqg%3D	人类高质量科研工具;科研日常;生物医学科研;文献阅读;sci;文献;SCI论文;科研学习;论文;文献查找	domain-referenced	external-reference	medium	ai-knowledge-workflow	ai-agent-workflow;knowledge-management;graduate-research	958	prose	方法候选（工具配置/用量管理）	可吸收：按任务分层、记录用量、切换模型/Provider并保留人工确认；额度、价格、兼容性和省钱比例是时效性外部声明	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实	E3	yes	none	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/4个skill就能实现Obsidian+Codex 文献阅读 - 6a44e70c000000001603c0fc.md
027	Bookmarks	6a5b6d6c00000000010333b6	5.6万 Star！GitHub 爆火的 AI 求职神器，	Agent 实战日记	2026-07-18T12:11:24.000Z	https://www.xiaohongshu.com/explore/6a5b6d6c00000000010333b6?xsec_token=ABiZ24VLTUxMyArrhv0gyk9PQHiQWLpmChxzWnmLtJ78c%3D	howto用AI抢救一切;howto入门codex;howto用好AI;agent开发实战;agent;AI工具;2分钟学习一夏	domain-referenced	external-reference	medium	ai-agent-workflow	career-and-employment	13	short-or-media-led	仅外部参考（正文不足）	正文过短或主要依赖图片/视频；只登记标题、作者与原链，全文/媒体需另行核验	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实	E1	maybe	marketing-or-outcome-claim;star-view-like-claim;media-needs-review	yes	no	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/5.6万 Star！GitHub 爆火的 AI 求职神器， - 6a5b6d6c00000000010333b6.md
028	Bookmarks	6a605580000000000f01f5c0	52天瘦了32.6斤	爱分享的西瓜🍉	2026-07-22T05:30:40.000Z	https://www.xiaohongshu.com/explore/6a605580000000000f01f5c0?xsec_token=ABJyB7pEsHFaTKk7-yBbS-tr2-OeZ_SH99fKvY_9LVVVY%3D	让你越吃越瘦;多喝水;三伏天减脂;健康减肥	domain-referenced	external-reference	medium	health-lifestyle	none	48	short-or-media-led	仅外部参考（正文不足）	正文过短或主要依赖图片/视频；只登记标题、作者与原链，全文/媒体需另行核验	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E1	no	media-needs-review	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/52天瘦了32.6斤 - 6a605580000000000f01f5c0.md
029	Bookmarks	6a4e64830000000017008b9f	6万star求职skill！帮你直通boss直聘offer	Ceci（AI版）	2026-07-09T12:01:14.000Z	https://www.xiaohongshu.com/explore/6a4e64830000000017008b9f?xsec_token=ABb1ba3j_lb65KfQMqUvyy9apwHisCwHKPLziEjcP0nYs%3D	AI工具;求职工具;简历优化;howto用好AI;Boss直聘;找工作;面试准备;文科生转行;转行;职场那些事儿	domain-referenced	external-reference	medium	ai-agent-workflow	career-and-employment	19	short-or-media-led	仅外部参考（正文不足）	正文过短或主要依赖图片/视频；只登记标题、作者与原链，全文/媒体需另行核验	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实	E1	maybe	marketing-or-outcome-claim;offer-salary-admission-claim;star-view-like-claim;media-needs-review	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/6万star求职skill！帮你直通boss直聘offer - 6a4e64830000000017008b9f.md
030	Bookmarks	6a40e8a4000000001101cb98	6万人看过的Codex自动投简历Skill，开源了	藏个栗子🌰	2026-06-28T09:25:56.000Z	https://www.xiaohongshu.com/explore/6a40e8a4000000001101cb98?xsec_token=ABoA8Vs-_dm-2uYG-mqDR61Td-gYI5UUM2XTNew6eNI2c%3D	howto用AI抢救一切;howto实现一万种vibecoding;howto入门codex;个人开发者;留学生求职;AI找工作;AI求职;求职经验;AI工具;小红书成长笔记	domain-referenced	external-reference	medium	ai-knowledge-workflow	career-and-employment;ai-agent-workflow;knowledge-management	699	prose	方法候选（AI辅助求职/面试流程）	可吸收：把输入材料、岗位/问题拆解、生成草稿、人工核验和复盘串成工作流；工具名称、效果数字和“offer”需独立验证	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E2	yes	marketing-or-outcome-claim;offer-salary-admission-claim;star-view-like-claim;time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/6万人看过的Codex自动投简历Skill，开源了 - 6a40e8a4000000001101cb98.md
031	Bookmarks	6a79d52a000000003301d4b8	8月份第一周skill红黑榜（第六期）	铲屎官阿沐的Ai日常	2026-08-10T13:42:02.000Z	https://www.xiaohongshu.com/explore/6a79d52a000000003301d4b8?xsec_token=ABrRVTS3g4Wz4o03csuHxNYxvx0B47FA8izSOJ4uOCcGA%3D	Skill红黑榜;AI编程;装作者;别信数字;Skill生态;howto用好AI;AI进化生活howto;skills;6a5276360000000035017d4b	domain-referenced	external-reference	medium	ai-agent-workflow	none	871	prose	方法候选（工具配置/用量管理）	可吸收：按任务分层、记录用量、切换模型/Provider并保留人工确认；额度、价格、兼容性和省钱比例是时效性外部声明	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E3	yes	marketing-or-outcome-claim;time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/8月份第一周skill红黑榜（第六期） - 6a79d52a000000003301d4b8.md
032	Bookmarks	6a66ecf5000000001101c424	AI Skills 一站式管理，一屏尽览	生活告诉我	2026-07-27T05:30:29.000Z	https://www.xiaohongshu.com/explore/6a66ecf5000000001101c424?xsec_token=AByWfGb3cw1XMS74CbuLAD46qy3m4MiKXN8eRvrcdM610%3D	AI工具;效率工具;cursor;Codex;skills;mcp;plugin;github;SKILL管理器	domain-referenced	external-reference	medium	ai-agent-workflow	apple-digital	410	prose	方法候选（工具工作流）	可吸收：记录触发条件、输入输出、验证步骤和复用边界，再评估工具是否值得安装；版本、兼容性、Star/浏览量与效果数字需核验	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E2	yes	marketing-or-outcome-claim;star-view-like-claim;time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/AI Skills 一站式管理，一屏尽览 - 6a66ecf5000000001101c424.md
033	Bookmarks	6a67732b000000000c003000	AI 工具支持扩至 28 款、自定义菜单栏排版	Javis	2026-07-27T15:03:07.000Z	https://www.xiaohongshu.com/explore/6a67732b000000000c003000?xsec_token=AB3TwT7yKJJgwOF1-UGsGIPyi7xgbhk1sC7FuISkmFsi0%3D	vibecoding;vibecoding大赏;AI工具;AI新手村;开源;codex;claude;ai;程序员;token消耗	domain-referenced	external-reference	medium	ai-agent-workflow	apple-digital	473	prose	方法候选（工具配置/用量管理）	可吸收：按任务分层、记录用量、切换模型/Provider并保留人工确认；额度、价格、兼容性和省钱比例是时效性外部声明	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实	E2	yes	marketing-or-outcome-claim;star-view-like-claim;time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/AI 工具支持扩至 28 款、自定义菜单栏排版 - 6a67732b000000000c003000.md
034	Bookmarks	6a536bc4000000001603d051	AI版面试自救指南（二）项目篇	路过说	2026-07-13T02:05:44.000Z	https://www.xiaohongshu.com/explore/6a536bc4000000001603d051?xsec_token=ABrLhMFjwe9ly3Xi2VmvtPw1aLkm19VWP1AN7ZGvX5Z24%3D	Hy3;workbuddy;面试技巧;面试求职;职场;求职;职场干货;毕业季;AI工具;简历;skills;6a5276360000000035017d4b	domain-referenced	external-reference	medium	ai-agent-workflow	career-and-employment	980	prose	方法候选（AI辅助求职/面试流程）	可吸收：把输入材料、岗位/问题拆解、生成草稿、人工核验和复盘串成工作流；工具名称、效果数字和“offer”需独立验证	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E3	yes	time-version-sensitive	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/AI版面试自救指南（二）项目篇 - 6a536bc4000000001603d051.md
