domain	path	source_class	register_status	existing_skill_evidence	indexed_only	precise_backlink	category	disposition	claim_code_boundary	size_bytes	sha256_16
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/08｜设备管理篇/8.1 键盘敲入 A 字母时，操作系统期间发生了什么？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	16054	cb01dbb8eb22c440
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/08｜设备管理篇/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	902	2d0af9ce11dc81e5
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/09｜网络系统篇/9.1 什么是零拷贝？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	23645	64730925b27e83e0
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/09｜网络系统篇/9.3 高性能网络模式：Reactor 和 Proactor.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	23589	00b78ebc6feec668
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/09｜网络系统篇/9.4 什么是一致性哈希？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	15356	ad976354d53b6ede
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/09｜网络系统篇/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	1311	f7286bc7ac4098f3
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/10｜Linux 命令篇/10.2 如何从日志分析 PV、UV？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	9657	5d0818767cc2d140
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/10｜Linux 命令篇/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	1001	0e84f0af9cdd6c8a
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/11｜学习心得/11.1 操作系统怎么学？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	7902	9bc29a20331a3ada
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/11｜学习心得/11.2 画图经验分享.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	7981	b9a5239fb095b300
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/11｜学习心得/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	811	c523ce90eda6a8fb
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/99｜附录/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	766	ce401fa513b6ae47
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	6733	bdf6096704fe10ad
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统（小林coding·全章节合并）-Defuddle提取.md.backup-20260812-134426	derived-backup	evidence-layer	no	no	none	derived-backup	downgrade-derived-no-skill	合并稿备份；不得当作独立知识来源或新 Skill	821828	2350259a119b0869
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/00｜图解网络目录.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	7865	a22eeb3bb74a4a5b
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/02｜基础篇/2.1 TCP-IP 网络模型有哪几层？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	10751	bc5b1c9c0261505f
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/02｜基础篇/2.2 键入网址到网页显示，期间发生了什么？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	34914	442a434448061bdc
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/02｜基础篇/2.3 Linux 系统是如何收发网络包的？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	15338	b177523413c2f731
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/03｜应用层篇/3.1 HTTP 常见面试题.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	70493	dd49d38b0c35b487
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/03｜应用层篇/3.2 HTTP-1.1 如何优化？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	14832	96984c8dd8e8ba00
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/03｜应用层篇/3.3 HTTPS RSA 握手解析.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	15987	7148f5cca8b641b7
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/03｜应用层篇/3.4 HTTPS ECDHE 握手解析.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	15736	78c438d76270de81
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/03｜应用层篇/3.5 HTTPS 如何优化？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	19854	a9a96d9d2ef1ec51
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/03｜应用层篇/3.6 HTTP-2 牛逼在哪？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	23019	4cdf5c88a5e13b10
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/03｜应用层篇/3.7 HTTP-3 强势来袭.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	13972	25c313419cf127c6
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/03｜应用层篇/3.8 既然有 HTTP 协议，为什么还要有 RPC？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	15414	039d0dc0c3a69c28
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/03｜应用层篇/3.9 既然有 HTTP 协议，为什么还要有 WebSocket？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	17030	cabc8a19c36513cb
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.1 TCP 三次握手与四次挥手面试题.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	83565	0a300d9dfb5e89d2
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.10 四次挥手中收到乱序的 FIN 包会如何处理？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	8994	be34d255754d5213
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.11 在 TIME_WAIT 状态的 TCP 连接，收到 SYN 后会发生什么？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	15090	3837bb3cbc281c8c
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.14 tcptwreuse 为什么默认是关闭的？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	20452	6bfbb8124deb7d54
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.15 HTTPS 中 TLS 和 TCP 能同时握手吗？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	10215	c0444e4c2434fb9a
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.17 TCP 协议有什么缺陷？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	9487	be80224db8da8ee4
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.18 如何基于 UDP 协议实现可靠传输？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	22145	af62fc78107e83f2
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.19 TCP 和 UDP 可以使用同一个端口吗？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	21021	9a00060a78de90a1
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.2 TCP 重传、滑动窗口、流量控制、拥塞控制.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	41146	c223fe751bc03f91
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.20 服务端没有 listen，客户端发起连接建立，会发生什么？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	9915	c6e4ac8cd69e2eab
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.23 TCP 四次挥手，可以变成三次吗？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	18115	150644181b331cb5
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.24 TCP 序列号和确认号是如何变化的？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	13400	6913ea3cb1dd543a
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.5 如何优化 TCP？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	52829	3398a0e1339710a9
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.6 如何理解是 TCP 面向字节流协议？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	7596	5dc88f3a99bd25f5
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.7 为什么 TCP 每次建立连接时，初始化序列号都要不一样呢？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	11641	f4f0901012d79f4b
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.8 SYN 报文什么情况下会被丢弃？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	14273	d8a7eb266ef22298
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/04｜传输层篇/4.9 已建立连接的TCP，收到SYN会发生什么？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	16002	06638d1834b4886c
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/05｜网络层篇/5.1 IP 基础知识全家桶.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	41913	816bdc555a3a8405
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/05｜网络层篇/5.2 ping 的工作原理.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	19058	9559070c1b5879be
embedded-core	projects/嵌入式八股/2. 小林图解/图解网络/05｜网络层篇/5.3 断网了，还能 ping 通 127.0.0.1 吗？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	13997	58034572085e192d
embedded-core	projects/嵌入式八股/3. 杂七杂八/13. Linux 内核如何初始化系统的 PCI 总线和设备.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	32395	5ea51da2e8f1fa24
embedded-core	projects/嵌入式八股/3. 杂七杂八/3. 图解 TCP-IP协议，看图秒懂.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	28844	25d8029ffef6ba8d
embedded-core	projects/嵌入式八股/3. 杂七杂八/4. 图解计算机原理- 一文看懂IO 多路复用，select、poll、epoll.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	16325	7ff34f4190cdd8d6
embedded-core	projects/嵌入式八股/3. 杂七杂八/6. Linux 内核 eBPF 图解：理解内核扩展的核心机制.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	62494	5a5a0e729aecc56d
embedded-core	projects/嵌入式八股/3. 杂七杂八/8. 一文吃透Linux Socket网络编程：TCP-IP、API详解与高并发架构.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	87168	4e41d20b11a337e1
embedded-core	projects/嵌入式八股/3. 杂七杂八/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	10640	80faaf66c69a5a23
embedded-core	projects/嵌入式八股/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	1669	88d4f7bf1c0c88e1
embedded-core	projects/嵌入式八股/图解系统-小林coding-v1.0.epub	attachment-evidence	evidence-layer	no	no	none	external-attachment	retain-attachment-no-skill	外部附件证据；不支撑代码事实、项目实现或实测	35967355	63677357c59ded1f
embedded-core	projects/嵌入式八股/大丙Linux 教程（Subingwen 专栏合并）-Defuddle提取.md.bak-20260813-1317	derived-backup	evidence-layer	no	no	none	derived-backup	downgrade-derived-no-skill	合并稿备份；不得当作独立知识来源或新 Skill	708170	934723dbaf4c5cea
embedded-core	projects/嵌入式八股/嵌入式高频八股150题/00 索引-150题速查汇总.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	56224	df0a49c61e0f84e2
embedded-core	projects/嵌入式八股/嵌入式高频八股150题/01 C-C++基础（1-25题）.md	knowledge-document	domain-referenced	no	yes	none	question-bank-unlinked	retain-reference-no-new-skill	题库分章/索引；支持题目范围，不能替代逐符号源码或实测	56160	2b994c72d9a4e8a6
embedded-core	projects/嵌入式八股/嵌入式高频八股150题/02 C++进阶（26-50题）.md	knowledge-document	domain-referenced	no	yes	none	question-bank-unlinked	retain-reference-no-new-skill	题库分章/索引；支持题目范围，不能替代逐符号源码或实测	50179	c0db41e9b30960d2
embedded-core	projects/嵌入式八股/嵌入式高频八股150题/03 MCU-STM32（51-70题）.md	knowledge-document	domain-referenced	no	yes	none	question-bank-unlinked	retain-reference-no-new-skill	题库分章/索引；支持题目范围，不能替代逐符号源码或实测	31405	45c8483409f972d8
embedded-core	projects/嵌入式八股/嵌入式高频八股150题/04 通信协议-网络（71-90题）.md	knowledge-document	domain-referenced	no	yes	none	question-bank-unlinked	retain-reference-no-new-skill	题库分章/索引；支持题目范围，不能替代逐符号源码或实测	37139	1281330bbc71f436
embedded-core	projects/嵌入式八股/嵌入式高频八股150题/05 RTOS-FreeRTOS（91-105题）.md	knowledge-document	domain-referenced	no	yes	none	question-bank-unlinked	retain-reference-no-new-skill	题库分章/索引；支持题目范围，不能替代逐符号源码或实测	33983	96635c711acbfb5a
embedded-core	projects/嵌入式八股/嵌入式高频八股150题/06 Linux-OS（106-150题）.md	knowledge-document	domain-referenced	no	yes	none	question-bank-unlinked	retain-reference-no-new-skill	题库分章/索引；支持题目范围，不能替代逐符号源码或实测	69493	1c6a13a63d632aa8
embedded-core	projects/嵌入式八股/糯叽叽八股（完整版）.md.backup-20260813-stl	derived-backup	evidence-layer	no	no	none	derived-backup	downgrade-derived-no-skill	合并稿备份；不得当作独立知识来源或新 Skill	791535	eeb8fc94e60a7336
embedded-core	projects/嵌入式八股/糯叽叽八股（完整版）.md.backup-before-misalignment-20260813	derived-backup	evidence-layer	no	no	none	derived-backup	downgrade-derived-no-skill	合并稿备份；不得当作独立知识来源或新 Skill	791535	eeb8fc94e60a7336
