card_id	page_start	page_end	chapter	topic	text_fact	image_formula_gap	inference	unverified	evidence_level	source_ref
PT-026	26	26	II 数据结构	二叉搜索树插入删除	文本层出现 BST 节点、插入、最小后继和删除代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位 BST 更新模板	重复键策略、空根、删除两子节点、递归深度和测试未验证	E1-TEXT	pymupdf.md:p26;matrix.tsv:p26
PT-027	27	27	II 数据结构	BST 遍历与应用	文本层补出 BST 清空、前/中/后序遍历和交互式删除应用	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为 BST 操作结果检查页	哨兵 -1、根节点生命周期、输入约束、编译/样例未验证	E1-TEXT	pymupdf.md:p27;matrix.tsv:p27
PT-028	28	28	II 数据结构	Trie 插入与查询	文本层定义 Trie，出现 son/cnt/idx 数组、字符串插入和查询代码开头	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位前缀树模板入口	字符集、节点容量、重复单词和复杂度未验证	E1-TEXT	pymupdf.md:p28;matrix.tsv:p28
PT-029	29	29	II 数据结构	Trie 应用	文本层补出 Trie 插入/查询完整代码和操作输入循环	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为字典操作模板定位页	输入终止符、字符范围、idx 初始化、内存和测试未验证	E1-TEXT	pymupdf.md:p29;matrix.tsv:p29
PT-030	30	30	II 数据结构	并查集三种维护方式	文本层列出朴素、维护 size、维护到祖先距离的并查集及 find 代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位连通性、集合大小和带权并查集入口	路径压缩后的权值维护、合并方向、距离定义、复杂度和测试未验证	E1-TEXT	pymupdf.md:p30;matrix.tsv:p30
PT-031	31	31	II 数据结构	并查集应用与堆表示	文本层出现并查集连通性应用、堆数组/映射数组定义和 down/up 开头	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为并查集到堆模板的过渡定位	堆映射一致性、编号基准、合并策略、复杂度和测试未验证	E1-TEXT	pymupdf.md:p31;matrix.tsv:p31
PT-032	32	32	II 数据结构	堆排序与堆操作	文本层出现 heap_swap、down、up、O(n) 建堆和数组堆排序代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位小根堆/堆排序模板	堆不变量、重复值、删除边界、复杂度和编译测试未验证	E1-TEXT	pymupdf.md:p32;matrix.tsv:p32
PT-033	33	33	II 数据结构	哈希表	文本层出现拉链法、开放寻址法和负数取模处理代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为整数哈希实现的候选入口	冲突率、容量、null 哨兵、负数边界、复杂度和测试未验证	E1-TEXT	pymupdf.md:p33;matrix.tsv:p33
PT-034	34	34	II 数据结构	字符串哈希与 STL 表格	文本层出现字符串多项式哈希、ULL 取模和子串 get 代码	图片/表格缺口：page-034-image-01.png 为 STL 操作/复杂度表，单元格、版面和文字未转录	推断：可定位字符串哈希与 STL 速查入口	表格内容、冲突性质、溢出假设、复杂度和模板测试未验证	E1-GAP	pymupdf.md:p34;matrix.tsv:p34
PT-035	35	35	II 数据结构	STL 容器基础	文本层列出 vector、pair、string、queue、priority_queue、stack、deque 的操作线索	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为 STL 接口速查定位页	操作复杂度、迭代器失效、版本差异和示例编译未验证	E1-TEXT	pymupdf.md:p35;matrix.tsv:p35
PT-036	36	36	II 数据结构	有序容器、哈希容器与 bitset	文本层列出 deque、set/map、多重容器、unordered 容器和 bitset 操作/复杂度文字	数学/复杂度文字线索存在但无 text-gap；精确表述未独立核验	推断：可作为 STL 选择入口	复杂度文字、容器约束、迭代器行为、版本和测试未验证	E1-TEXT	pymupdf.md:p36;matrix.tsv:p36
PT-037	37	37	III 搜索与图论	树图存储与 DFS	文本层说明树是特殊图、无向边双向存储、邻接矩阵/表和 DFS 框架	数学/复杂度文字线索存在但无 text-gap；图布局未复核	推断：可作为图存储和遍历模板入口	复杂度、邻接表初始化、递归终止和图类型适用条件未验证	E1-TEXT	pymupdf.md:p37;matrix.tsv:p37
PT-038	38	38	III 搜索与图论	数字全排列回溯	文本层出现 used 标记、递归、剪枝/恢复现场及数字全排列代码	图片缺口：page-038-image-01.png 存在；搜索树/图内文字和分支关系未转录	推断：可定位全排列 DFS/回溯模板	图片关系、剪枝完备性、递归深度、复杂度和测试未验证	E1-IMAGE	pymupdf.md:p38;matrix.tsv:p38
PT-039	39	39	III 搜索与图论	树的重心	文本层给出树重心定义和 DFS 统计子树大小、最大连通块的代码	公式/变量缺口：题面中的结点数、边数等变量在文本层为空洞	推断：可定位“删点后最小化最大连通块”的树 DFS 线索	缺失变量、定义的精确版面、递推不变量、复杂度和测试未验证	E1-GAP	pymupdf.md:p39;matrix.tsv:p39
PT-040	40	40	III 搜索与图论	N 皇后回溯	文本层出现棋盘数组、列/两条对角线冲突标记和逐行 DFS	图片缺口：page-040-image-01.png 存在；棋盘/示意图内容未转录	推断：可作为约束回溯模板定位页	图片关系、索引范围、剪枝完备性、复杂度和测试未验证	E1-IMAGE	pymupdf.md:p40;matrix.tsv:p40
PT-041	41	41	III 搜索与图论	图的宽度优先遍历	文本层给出队列、访问标记、按邻接表扩展未访问节点的 BFS 框架	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为图 BFS 模板入口	连通性、距离层数、队列容量、复杂度和测试未验证	E1-TEXT	pymupdf.md:p41;matrix.tsv:p41
PT-042	42	42	III 搜索与图论	迷宫与八数码 BFS	文本层出现四方向迷宫 BFS、距离数组和字符串状态八数码 BFS	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位网格/状态空间最短步数模型	状态去重、不可达返回值、边界和状态规模未验证	E1-TEXT	pymupdf.md:p42;matrix.tsv:p42
PT-043	43	43	III 搜索与图论	拓扑排序定义与队列模板	文本层定义删除入度 0 点及边，出现拓扑排序代码开头	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位 DAG 处理与环检测入口	入度初始化、环判定、输出顺序和复杂度未验证	E1-TEXT	pymupdf.md:p43;matrix.tsv:p43
PT-044	44	44	III 搜索与图论	拓扑排序实现	文本层补出邻接表、入度队列和“所有点入队”判定的两种代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为拓扑排序代码对照页	题目编号约定、重复边、输出条件和测试未验证	E1-TEXT	pymupdf.md:p44;matrix.tsv:p44
PT-045	45	45	III 搜索与图论	朴素 Dijkstra	文本层描述反复选未确定的最短点并松弛邻居，出现朴素版代码	复杂度引导语存在但当前矩阵未登记 text-gap；精确表达式未独立核验	推断：可定位非负权单源最短路模板	非负权前提、不可达点、复杂度、实现边界和测试未验证	E1-TEXT	pymupdf.md:p45;matrix.tsv:p45
PT-046	46	46	III 搜索与图论	邻接表 Dijkstra 应用	文本层出现邻接表、dist/state 和朴素选点/松弛代码的应用版本	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为 Dijkstra 邻接表实现定位页	负权前提、t=-1、溢出、复杂度和编译/样例未验证	E1-TEXT	pymupdf.md:p46;matrix.tsv:p46
PT-047	47	47	III 搜索与图论	堆优化 Dijkstra	文本层出现 priority_queue 小根堆、st 去重和松弛代码	公式/复杂度缺口：页标题“时间复杂度”后表达式未进入文本层	推断：可定位稀疏图 Dijkstra 候选模板	复杂度表达式、非负权、懒删除、溢出和测试未验证	E1-GAP	pymupdf.md:p47;matrix.tsv:p47
PT-048	48	48	III 搜索与图论	Bellman-Ford	文本层出现 Bellman-Ford 动态规划说明、备份数组和按边松弛代码	图片/公式缺口：page-048-image-01.png 草稿图未转录；复杂度表达式也有 text-gap	推断：可定位限定边数/负权最短路模板	草稿箭头、复杂度、备份数组必要性、负环边界和测试未验证	E1-GAP	pymupdf.md:p48;matrix.tsv:p48
PT-049	49	49	III 搜索与图论	Bellman-Ford 迭代解释与 SPFA 引入	文本层解释 k 次迭代对应最多 k 条边并引出 SPFA，含复杂度文字线索	公式/复杂度缺口：平均/最坏复杂度表达式和变量在文本层为空洞	推断：可作为 Bellman-Ford 到队列优化的衔接页	复杂度结论、负环语义、迭代边界和 SPFA 适用性未验证	E1-GAP	pymupdf.md:p49;matrix.tsv:p49
PT-050	50	50	III 搜索与图论	SPFA 核心与模板	文本层列出只处理发生变化节点、队列和邻边松弛步骤，并给出代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位 SPFA 队列实现入口	负环处理、复杂度、队列去重、不可达和测试未验证	E1-TEXT	pymupdf.md:p50;matrix.tsv:p50
PT-051	51	51	III 搜索与图论	SPFA 应用	文本层出现邻接表、距离更新、队列状态和单源最短路应用代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为 SPFA 代码定位页	st 初始化、不可达返回值、负环、最坏复杂度和测试未验证	E1-TEXT	pymupdf.md:p51;matrix.tsv:p51
PT-052	52	52	III 搜索与图论	SPFA 负环检测	文本层出现 cnt 路径点数、全点入队和 cnt>=n 判负环的代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位 SPFA 负环检测变体	计数定义、初始化、可达/不可达负环范围、复杂度和测试未验证	E1-TEXT	pymupdf.md:p52;matrix.tsv:p52
PT-053	53	53	III 搜索与图论	Floyd 全源最短路	文本层说明 Floyd 的动态规划本质、三重循环和 d[i][j] 更新	公式/复杂度缺口：复杂度表达式在文本层为空洞	推断：可定位全源最短路模板	中转点不变量、负环处理、INF 溢出、复杂度和测试未验证	E1-GAP	pymupdf.md:p53;matrix.tsv:p53
PT-054	54	54	III 搜索与图论	最短路算法总结与 Prim 引入	文本层总结单源/多源最短路和 Dijkstra、Bellman-Ford、SPFA、Floyd 线索，并引出 MST	复杂度文字线索存在但无 text-gap；精确表达式和图示未独立核验	推断：可作为最短路算法选择索引	适用条件、复杂度、负权/稠密稀疏边界和模板测试未验证	E1-TEXT	pymupdf.md:p54;matrix.tsv:p54
PT-055	55	55	III 搜索与图论	Prim 朴素/堆优化	文本层出现 Prim 朴素版、稠密/稀疏场景文字和堆优化代码	公式/复杂度缺口：稀疏图复杂度表达式未进入文本层	推断：可定位两种 Prim 实现的场景对照	复杂度、连通性返回值、堆 stale 项、边权范围和测试未验证	E1-GAP	pymupdf.md:p55;matrix.tsv:p55
PT-056	56	56	III 搜索与图论	Prim 堆优化续	文本层出现堆取点、st 跳过、更新相邻点和不连通检查	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为 Prim 堆实现的续页定位	dist 语义、起点、孤立点检测、复杂度和编译测试未验证	E1-TEXT	pymupdf.md:p56;matrix.tsv:p56
PT-057	57	57	III 搜索与图论	Prim 主程序与无向边存储	文本层补出 Prim 主循环、双向存边和不连通输出	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位完整 Prim 应用模板	重复边、INF、边数容量、结果类型和样例未验证	E1-TEXT	pymupdf.md:p57;matrix.tsv:p57
PT-058	58	58	III 搜索与图论	Kruskal	文本层出现按边权排序、并查集合并和计数判断的 Kruskal 代码	公式/复杂度缺口：复杂度表达式在文本层为空洞	推断：可定位基于边排序的 MST 模板	复杂度、并查集策略、负权/重复边、连通性和测试未验证	E1-GAP	pymupdf.md:p58;matrix.tsv:p58
PT-059	59	59	III 搜索与图论	Kruskal 应用	文本层补出 Kruskal 完整实现、cnt<n-1 返回 INF 及主程序	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为 Kruskal 代码定位页	INF 与题面、编号、重复边、整数范围和测试未验证	E1-TEXT	pymupdf.md:p59;matrix.tsv:p59
PT-060	60	60	III 搜索与图论	二分图定义与染色法	文本层定义二分图两侧无内部边，并引出染色法判定	图片/图示缺口：页面提到“下图”，图示未进入 Markdown 资产链接	推断：可作为二分图判定主题入口	图示关系、定义边界、非连通图处理、复杂度和测试未验证	E1-TEXT	pymupdf.md:p60;matrix.tsv:p60
PT-061	61	61	III 搜索与图论	二分图染色代码	文本层出现 DFS 二染色和复杂度标题，代码可定位	图片/公式缺口：page-061-image-01.png 图示未转录；复杂度表达式有 text-gap	推断：可定位二分图染色模板	图示、复杂度、颜色哨兵、非连通/自环边界和测试未验证	E1-GAP	pymupdf.md:p61;matrix.tsv:p61
PT-062	62	62	III 搜索与图论	二分图染色应用	文本层补出无向边建图、逐连通块染色和 Yes/No 输出	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为二分图判定应用模板	颜色初始化、重复边、自环、递归深度和测试未验证	E1-TEXT	pymupdf.md:p62;matrix.tsv:p62
PT-063	63	63	III 搜索与图论	匹配概念与匈牙利算法	文本层定义匹配、最大/完美匹配、交替路、增广路，并引出匈牙利算法	复杂度文字线索存在但无 text-gap；精确复杂度未独立核验	推断：可作为二分图匹配概念索引	定义与图示、复杂度、匹配方向和增广不变量未验证	E1-TEXT	pymupdf.md:p63;matrix.tsv:p63
PT-064	64	64	III 搜索与图论	匈牙利最大匹配	文本层出现 match、st、递归寻找增广路和最大匹配计数代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位二分图最大匹配模板	集合编号、访问标记轮次、复杂度、递归深度和测试未验证	E1-TEXT	pymupdf.md:p64;matrix.tsv:p64
PT-065	65	65	IV 数学知识	数学章节入口与匹配代码续	文本层补完匈牙利主程序并出现数学知识章节及 OI Wiki 链接	复杂度/公式线索存在但无 text-gap；外部链接内容未纳入本域证据	推断：可作为数学主题回源入口	外部材料、公式、匹配代码正确性、复杂度和测试未验证	E1-TEXT	pymupdf.md:p65;matrix.tsv:p65
PT-066	66	66	IV 数学知识	质数判定、质因数分解与筛法	文本层出现试除法判质数/分解、埃氏筛和线性筛代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为质数基础模板索引	x/i 溢出边界、筛数组初始化、复杂度和测试未验证	E1-TEXT	pymupdf.md:p66;matrix.tsv:p66
PT-067	67	67	IV 数学知识	约数枚举与约数个数定理	文本层出现线性筛续、试除法枚举约数和约数个数主题	图片/公式缺口：page-067-image-01.png 承载约数公式/推导，图片文字未转录	推断：可定位约数计数公式回源页	公式上下标、推导链、重复约数边界、复杂度和测试未验证	E1-GAP	pymupdf.md:p67;matrix.tsv:p67
PT-068	68	68	IV 数学知识	约数之和与质因子计数	文本层出现按质因子次数计算约数个数/约数和的代码	图片/公式缺口：page-068-image-01.png 承载约数和公式/推导，图片文字未转录	推断：可定位约数和模板候选	公式、模数、剩余质因子、溢出和测试未验证	E1-GAP	pymupdf.md:p68;matrix.tsv:p68
PT-069	69	69	IV 数学知识	约数公式与 GCD	文本层出现“代码第26行解释”、约数个数/和公式标题和欧几里得算法	图片/公式缺口：page-069-image-01.png 中公式/解释未转录	推断：可作为约数公式到最大公约数的回源清单	图片公式、递归边界、负数、类型范围和测试未验证	E1-GAP	pymupdf.md:p69;matrix.tsv:p69
PT-070	70	70	IV 数学知识	欧拉函数定义与容斥推导	文本层出现互质、欧拉函数、质因子倍数与容斥步骤，但多个变量公式为空洞	公式/变量缺口：定义、质因子分解和容斥等式未进入文本层	推断：可定位欧拉函数证明链的回源页	变量含义、公式上下标、容斥推导、lcm/phi 边界和测试未验证	E1-GAP	pymupdf.md:p70;matrix.tsv:p70
PT-071	71	71	IV 数学知识	欧拉函数公式与线性筛	文本层出现容斥奇偶项说明、phi(x) 和线性筛欧拉函数代码	公式/变量缺口：等价变形公式和证明内容有空洞	推断：可定位欧拉函数单值/筛法模板	公式等价性、筛法不变量、初始化、复杂度和测试未验证	E1-GAP	pymupdf.md:p71;matrix.tsv:p71
PT-072	72	72	IV 数学知识	快速幂与扩展欧几里得	文本层出现 qmi、exgcd、模逆相关文字和代码	公式/证明线索存在但无 text-gap；链接内容未作为独立证据	推断：可作为模运算工具箱入口	模数/负数/递归深度、溢出、复杂度和测试未验证	E1-TEXT	pymupdf.md:p72;matrix.tsv:p72
PT-073	73	73	IV 数学知识	中国剩余定理与扩展 CRT	文本层出现 CRT/EXCRT 链接、exgcd、模积和合并代码	图片/公式缺口：page-073-image-01.png 承载 CRT 讲解/公式，未转录	推断：可定位同余方程组模板候选	互质条件、不可解分支、模积溢出、公式和测试未验证	E1-GAP	pymupdf.md:p73;matrix.tsv:p73
PT-074	74	74	IV 数学知识	高斯消元引入与 EXCRT 续	文本层出现高斯消元标题、方程组说明和 EXCRT 合并代码续写	图片/公式缺口：page-074-image-01.png 的方程组/版面未转录	推断：可作为 EXCRT 到线性方程组的回源定位页	方程组内容、EXCRT 边界、类型范围和测试未验证	E1-GAP	pymupdf.md:p74;matrix.tsv:p74
PT-075	75	75	IV 数学知识	高斯消元模板	文本层出现主元选取、行交换、消元、无解/多解/唯一解返回代码	公式/变量缺口：页中讲解/方程变量部分在文本层有空洞	推断：可定位浮点高斯消元模板	eps、主元策略、数值稳定性、返回语义、复杂度和测试未验证	E1-GAP	pymupdf.md:p75;matrix.tsv:p75
PT-076	76	76	IV 数学知识	高斯消元实现细节	文本层出现 eps、增广矩阵、逆序归一化和回代注释	公式/复杂度线索存在但无 text-gap；精确数值结论未独立核验	推断：可作为高斯消元代码细节对照页	eps 选择、浮点误差、数组维度、复杂度和测试未验证	E1-TEXT	pymupdf.md:p76;matrix.tsv:p76
PT-077	77	77	IV 数学知识	组合数与递推法	文本层出现组合数、递推法标题及杨辉三角代码续写	图片/公式缺口：page-077-image-01.png 的组合记号/讲解未转录	推断：可定位组合数基础方法	组合定义、边界、模数、复杂度和测试未验证	E1-GAP	pymupdf.md:p77;matrix.tsv:p77
PT-078	78	78	IV 数学知识	杨辉三角与逆元组合数	文本层说明两侧为 1、内项求和并出现阶乘/逆元预处理代码	图片/公式缺口：page-078-image-01.png 承载杨辉三角/公式内容，未转录	推断：可定位预处理逆元组合数模板	质数模条件、逆元边界、数组越界、复杂度和测试未验证	E1-GAP	pymupdf.md:p78;matrix.tsv:p78
PT-079	79	79	IV 数学知识	Lucas 定理与预处理组合数	文本层出现阶乘、逆阶乘、快速幂和 Lucas 定理代码开头	公式线索存在但无 text-gap；定理证明和条件未纳入文本证据	推断：可作为模质数下组合数入口	模数为质数、a/b 范围、循环上界、复杂度和测试未验证	E1-TEXT	pymupdf.md:p79;matrix.tsv:p79
PT-080	80	80	IV 数学知识	Lucas 递归实现	文本层出现 C(a,b,p)、qmi 和 lucas 递归代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位 Lucas 递归模板	递归终止、模逆条件、整数类型、复杂度和测试未验证	E1-TEXT	pymupdf.md:p80;matrix.tsv:p80
PT-081	81	81	IV 数学知识	Lucas 续与组合数质因数法	文本层补出 Lucas 边界、组合数循环并说明用质因数求真实值的步骤	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为模组合与精确组合数分流入口	b>a、质因子次数、精确值规模、复杂度和测试未验证	E1-TEXT	pymupdf.md:p81;matrix.tsv:p81
PT-082	82	82	IV 数学知识	质因数法组合数代码	文本层出现筛质数、求 n! 中质因子次数和高精度乘法代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位精确组合数的候选实现	次数公式、负次数、质数筛边界、高精度性能和测试未验证	E1-TEXT	pymupdf.md:p82;matrix.tsv:p82
PT-083	83	83	IV 数学知识	线性筛与组合数乘法续	文本层出现线性筛、Legendre 次数计算和高精度乘低精度代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为质因数法组合数实现续页	大数位数、进位、筛法不变量、复杂度和测试未验证	E1-TEXT	pymupdf.md:p83;matrix.tsv:p83
PT-084	84	84	IV 数学知识	精确组合数与容斥应用	文本层出现组合数质因子乘法完整代码并引出容斥原理应用题	公式/组合线索存在但无 text-gap；题意公式未独立核验	推断：可定位精确组合数到容斥题的衔接页	集合条件、容斥边界、输出规模、复杂度和测试未验证	E1-TEXT	pymupdf.md:p84;matrix.tsv:p84
