page	chapter	topic_anchor	pdf_text_chars	pdf_text_nonws	pdf_text_words	md_page_marker	text_evidence	formula_signal	formula_status	raster_image_objects	asset_files	asset_status	vector_drawings	layout_status	ocr_status	evidence_grade	learning_use
19	II 数据结构	循环队列	654	411	85	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	9	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
20	II 数据结构	应用	805	570	141	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	21	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
21	II 数据结构	视频讲解：[最浅显易懂的 KMP 算法讲解哔哩哔哩bilibili]：https://www.bilibili.com/video/BV1AY4y157yL	1131	747	154	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	20	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
22	II 数据结构	下标从0开始的kmp算法	936	550	213	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	18	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
23	II 数据结构	string版的kmp	1152	668	204	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
24	II 数据结构	二叉树的存储与遍历	894	665	147	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	16	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
25	II 数据结构	应用	884	561	139	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	12	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
26	II 数据结构	二叉搜索树	886	590	136	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	10	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
27	II 数据结构	应用	788	553	123	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
28	II 数据结构	Trie 树是一种多叉树的结构，每个节点保存一个字符，一条路径表示一个字符串。	851	593	116	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	17	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
29	II 数据结构	int p = 0;	856	525	143	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
30	II 数据结构	并查集	756	504	102	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	16	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
31	II 数据结构	应用	893	569	98	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	19	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
32	II 数据结构	应用：堆排序	898	630	140	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
33	II 数据结构	一般hash	880	527	123	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	16	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
34	II 数据结构	视频讲解：[100 STL 容器哔哩哔哩bilibili]：https://www.bilibili.com/video/BV1tF411G73c/	565	409	96	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-034-image-01.png	extracted-unlinked; STL 操作/复杂度表	16	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
35	II 数据结构	博客讲解：[C++ STL总结 | 行码棋 (wyqz.top)]：https://wyqz.top/p/870124582.html	968	721	83	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	11	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
36	II 数据结构	front()/back()	1106	764	89	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	9	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
37	III 搜索与图论	树是一种特殊的图，与图的存储方式相同。	761	531	98	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	21	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
38	III 搜索与图论	应用：数字全排列	735	433	61	present	present; normalized-match	not-detected	not-assessed	1	page-038-image-01.png	extracted-unlinked; 全排列搜索树	15	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-IMAGE	text locator plus conditional template use; image not fully verified
39	III 搜索与图论	给定一颗树，树中包含 个结点（编号	1122	894	122	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	23	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
40	III 搜索与图论	应用：n-皇后问题	582	404	84	present	present; normalized-match	not-detected	not-assessed	1	page-040-image-01.png	extracted-unlinked; N 皇后搜索/回溯图	15	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-IMAGE	text locator plus conditional template use; image not fully verified
41	III 搜索与图论	宽度优先遍历	1008	555	167	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
42	III 搜索与图论	应用：走迷宫	1024	720	88	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	18	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
43	III 搜索与图论	啥是拓扑排序？	1076	619	165	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	18	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
44	III 搜索与图论	解说版	1181	740	183	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
45	III 搜索与图论	本质Dijkstra算法是贪心	1066	762	136	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	27	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
46	III 搜索与图论	应用	1046	700	166	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
47	III 搜索与图论	时间复杂度	1220	891	87	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	24	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
48	III 搜索与图论	[AcWing 850. Dijkstra求最短路 II：详解+代码注释 - AcWing]：https://www.acwing.com/solution/content/38	833	620	95	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	1	page-048-image-01.png	extracted-unlinked; Bellman-Ford 图与迭代表	20	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
49	III 搜索与图论	应用	1110	902	74	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	24	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
50	III 搜索与图论	SPFA 核心思想	934	557	111	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	7	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
51	III 搜索与图论	应用	1040	689	107	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	9	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
52	III 搜索与图论	应用：spfa判断图中是否存在负权	1104	651	123	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
53	III 搜索与图论	本质floyd算法是动态规划	926	591	185	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	26	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
54	III 搜索与图论	最短路	845	650	79	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	20	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
55	III 搜索与图论	时间复杂度是	1156	779	157	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	20	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
56	III 搜索与图论	应用	1036	635	143	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
57	III 搜索与图论	{	1031	613	125	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	8	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
58	III 搜索与图论	时间复杂度	914	562	155	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	24	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
59	III 搜索与图论	应用	794	492	147	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
60	III 搜索与图论	最小生成树算法视频讲解：https://www.bilibili.com/video/BV1wG411z79G/	544	397	67	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	13	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
61	III 搜索与图论	时间复杂度是	416	270	63	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	1	page-061-image-01.png	extracted-unlinked; 二分图示意图	16	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
62	III 搜索与图论	应用	816	504	136	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
63	III 搜索与图论	要了解匈牙利算法必须先理解下面的概念：	1025	740	109	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	23	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
64	III 搜索与图论	相关题解：[AcWing 861. 二分图的最大匹配----图解 - AcWing]：https://www.acwing.com/solution/content/17	914	623	129	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	17	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
65	IV 数学知识	算法的数学知识定理证明可以在这里查阅：[数学部分简介 - OI Wiki (oi-wiki.org)]：https://oi-wiki.org/math/	905	530	112	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	12	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
66	IV 数学知识	试除法判定质数	877	521	172	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	22	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
67	IV 数学知识	约数个数定理和约数和定理公式推导：https://www.bilibili.com/video/BV13R4y1o777	852	548	132	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-067-image-01.png	extracted-unlinked; 约数个数公式图	22	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
68	IV 数学知识	约数个数定理和约数和定理公式推导：https://www.bilibili.com/video/BV13R4y1o777	891	476	157	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-068-image-01.png	extracted-unlinked; 约数个数/约数和公式图	17	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
69	IV 数学知识	代码第26行解释：	265	181	50	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-069-image-01.png	extracted-unlinked; 幂级数推导图	170	vector-heavy-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
70	IV 数学知识	前置知识	344	286	50	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster; vector-heavy	375	vector-heavy-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
71	IV 数学知识	也就是n减去奇数个质因子的倍数个数，加上偶数个质因子的倍数个数，循环往复。	765	437	139	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster; vector-heavy	202	vector-heavy-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
72	IV 数学知识	快速幂公式证明：[快速幂 - OI Wiki (oi-wiki.org)]：https://oi-wiki.org/math/binary-exponentiation/	943	629	134	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	22	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
73	IV 数学知识	中国剩余定理讲解：https://www.bilibili.com/video/BV1AN4y1N7Su/	500	372	43	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-073-image-01.png	extracted-unlinked; 中国剩余定理公式/证明图	10	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
74	IV 数学知识	高斯消元	522	336	50	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-074-image-01.png	extracted-unlinked; 扩展中国剩余定理公式图	12	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
75	IV 数学知识	高斯消元讲解：https://www.bilibili.com/video/BV1Kd4y127vZ/	1064	616	198	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster; vector-heavy	94	vector-heavy-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
76	IV 数学知识	const double eps = 1e-6;	1562	1031	278	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	8	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
77	IV 数学知识	排列组合详细讲解1：https://www.bilibili.com/video/BV1e7411J7SC/	388	290	44	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-077-image-01.png	extracted-unlinked; 杨辉三角图	13	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
78	IV 数学知识	模板	643	441	127	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-078-image-01.png	extracted-unlinked; 组合数记号图	37	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
79	IV 数学知识	应用	920	678	118	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	19	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
80	IV 数学知识	应用	896	553	193	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
81	IV 数学知识	模板	1019	696	151	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
82	IV 数学知识	if (i % primes[j] == 0) break;	826	496	153	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	9	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
83	IV 数学知识	应用	1023	751	108	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	9	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
84	IV 数学知识	经典例题：[890. 能被整除的数 - AcWing题库]：https://www.acwing.com/problem/content/892/	1039	761	115	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	18	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
85	IV 数学知识	详细题解：[AcWing 890. 能被整除的数 - AcWing]：https://www.acwing.com/solution/content/29702/	1097	736	125	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	24	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
86	IV 数学知识	结论：	871	520	108	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	48	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
87	IV 数学知识	结论：若奇数台阶上的	1052	774	69	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	34	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
88	V 动态规划	思路：转换成有向图游戏	366	307	22	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-088-image-01.jpeg	extracted-unlinked; 闫式 DP 分类图	15	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
89	V 动态规划	01背包每件物品只能装一次	401	330	27	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	2	page-089-image-01.png;page-089-image-02.png	extracted-unlinked; 01 背包 DP 图/表	11	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
90	V 动态规划	01背包，使用滚动数组，倒序遍历	955	726	64	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	23	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
91	V 动态规划	完全背包问题和01背包优化版的区别在于第二重循环的v[i]和m做交换	892	724	72	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	26	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
92	V 动态规划	分组背包每组只能选择一件物品装入	945	534	145	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	18	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
93	V 动态规划	状态转移方程：f[j]=max(f[j],f[j-v[i][k]]+w[i][k]);	515	375	37	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-093-image-01.png	extracted-unlinked; 数字三角形 DP 图	21	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
94	V 动态规划	状态转移方程：f[i][j]=max(f[i-1][j-1]+a[i][j],f[i-1][j]+a[i][j]);	1119	814	107	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	19	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
95	V 动态规划	视频讲解：[404 线性DP 最长上升子序列 二分优化哔哩哔哩bilibili]：https://www.bilibili.com/video/BV1Kp4y	864	597	139	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	18	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
96	V 动态规划	状态转移方程：	627	508	63	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-096-image-01.png	extracted-unlinked; 编辑距离 DP 图	21	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
97	V 动态规划	状态转移方程:	826	660	74	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-097-image-01.png	extracted-unlinked; 区间 DP 状态图	15	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
98	V 动态规划	状态转移方程找到最小值状态转移方程为f[l][r]=min(f[l][r],f[l][k]+f[k+1][r]+s[r]-s[l-1])	1161	867	148	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	13	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
99	V 动态规划	状态转移方程：f[j]=f[j-i]+f[j]	729	595	59	present	present; normalized-match	raster-formula-or-diagram	asset-text-untranscribed	1	page-099-image-01.png	extracted-unlinked; 数位统计 DP 分类图	14	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
100	V 动态规划	题目链接：[U204941 蒙德里安的梦想 - 洛谷 | 计算机科学教育新生态 (luogu.com.cn)]：https://www.luogu.c	1302	1085	69	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	21	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
101	V 动态规划	状态转移方程：	1339	835	121	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	21	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
102	V 动态规划	状态转移方程：	1270	950	155	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	24	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
103	V 动态规划	状态转移方程：	991	762	101	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	22	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
104	VI 贪心	状态转移方程：v=max(v,dp(a,b)+1);	568	396	74	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	12	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
105	VI 贪心	给定 N个闭区间	461	337	55	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	1	page-105-image-01.png	extracted-unlinked; 区间选点示意图	18	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
106	VI 贪心	给定	846	568	97	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	27	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
107	VI 贪心	区间分组	691	478	73	present	present; normalized-match	not-detected	not-assessed	1	page-107-image-01.png	extracted-unlinked; 区间分组步骤图	12	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-IMAGE	text locator plus conditional template use; image not fully verified
108	VI 贪心	在果园里，达达把打下的果子按种类分好堆后，打算将它们合成一堆。每次合并两堆果子，消耗的体力是这两堆	1105	814	123	present	present; normalized-match	text-cue	text-present-unverified	0	-	no-raster-asset	11	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
109	VII 杂项	有 个人排队到 个水龙头处打水，第 个人装满水桶所需的时间是	799	607	113	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster; vector-heavy	75	vector-heavy-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
