domain	class	status	disposition	confidence	reason	disposition_reason	artifact_refs	path	size_bytes	sha256_16
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/01-Raw/Hot100两周速通-yxc简洁代码.md	429376	f072887cbd90beb5
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-problem-framework-selection	archive/力扣刷题/02-Wiki/专题总结/00-YXC常用模板索引.md	3167	fd1995857c1113a9
leetcode-algorithm-learning	knowledge-document	domain-referenced	domain-reference	medium	full path, conservative source-map alias, or fixed-prefix glob appears in the domain distillation text	mentioned by the domain distillation package	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/专题总结/01-哈希表.md	11872	039cb321e5a8c816
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-problem-framework-selection	archive/力扣刷题/02-Wiki/专题总结/02-双指针与滑动窗口.md	13011	06b4f906b5afa48e
leetcode-algorithm-learning	knowledge-document	domain-referenced	domain-reference	medium	full path, conservative source-map alias, or fixed-prefix glob appears in the domain distillation text	mentioned by the domain distillation package	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/专题总结/03-数组与矩阵.md	13497	34de729567ab08b4
leetcode-algorithm-learning	knowledge-document	domain-referenced	domain-reference	medium	full path, conservative source-map alias, or fixed-prefix glob appears in the domain distillation text	mentioned by the domain distillation package	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/专题总结/04-链表.md	14380	78ad4e658822fd76
leetcode-algorithm-learning	knowledge-document	domain-referenced	domain-reference	medium	full path, conservative source-map alias, or fixed-prefix glob appears in the domain distillation text	mentioned by the domain distillation package	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/专题总结/05-二叉树.md	15581	9cf9b4b11a32d5fc
leetcode-algorithm-learning	knowledge-document	domain-referenced	domain-reference	medium	full path, conservative source-map alias, or fixed-prefix glob appears in the domain distillation text	mentioned by the domain distillation package	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/专题总结/06-栈与堆.md	11303	f373275295e8c56b
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-problem-framework-selection	archive/力扣刷题/02-Wiki/专题总结/07-图论.md	11107	3ee6f807f35d0653
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-state-and-invariant-derivation	archive/力扣刷题/02-Wiki/专题总结/08-回溯算法.md	12418	d0f89ecf5da32ddc
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-problem-framework-selection,algorithm-state-and-invariant-derivation	archive/力扣刷题/02-Wiki/专题总结/09-二分查找.md	10719	fd09188438dc19a4
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-problem-framework-selection,algorithm-state-and-invariant-derivation	archive/力扣刷题/02-Wiki/专题总结/10-动态规划.md	14848	fa7d118dddb65a72
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-state-and-invariant-derivation	archive/力扣刷题/02-Wiki/专题总结/11-贪心算法.md	5473	4d340c3527bf85a2
leetcode-algorithm-learning	knowledge-document	domain-referenced	domain-reference	medium	full path, conservative source-map alias, or fixed-prefix glob appears in the domain distillation text	mentioned by the domain distillation package	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/专题总结/12-技巧专题.md	7046	36c5719d835491ad
leetcode-algorithm-learning	knowledge-document	domain-referenced	domain-reference	medium	full path, conservative source-map alias, or fixed-prefix glob appears in the domain distillation text	mentioned by the domain distillation package	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/专题总结/13-复杂度速查表.md	6144	b1da63e3afe667e1
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/1-两数之和.md	7386	3beb7c4db8baf748
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/101-对称二叉树.md	5886	8d4ccafa4faef2ef
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/102-二叉树的层序遍历.md	7030	bdffca8efe629b49
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/104-二叉树的最大深度.md	6036	72ed96deab75d51c
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/105-从前序与中序遍历构造二叉树.md	8234	1fe6a714ea910f26
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/108-将有序数组转换为二叉搜索树.md	6536	adc425bd9e074235
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/11-盛最多水的容器.md	7394	2fb403a4992fa4cd
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/114-二叉树展开为链表.md	8155	5810c1728c06c716
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/1143-最长公共子序列.md	6840	c8606230effb3d41
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/118-杨辉三角.md	4445	a6287b1047f3e383
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/121-买卖股票的最佳时机.md	6474	027e9f5eda264a32
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/124-二叉树中的最大路径和.md	8236	ba7bff1212f7140e
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/128-最长连续序列.md	7459	9b0f57d89e836110
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/131-分割回文串.md	8309	809763d5e74d88ad
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/136-只出现一次的数字.md	6367	9fb33ad648139795
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/138-随机链表的复制.md	8359	8d6a7a5ce034f1ba
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/139-单词拆分.md	7183	1bbe7f7d565ca963
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/141-环形链表.md	5988	75b115b271fa522f
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/142-环形链表II.md	7072	2f54986b0ce40256
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/146-LRU缓存.md	8663	fba66e5112788089
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/148-排序链表.md	8474	cfdbabac70c7ce4b
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/15-三数之和.md	8344	8e0b963f022752dc
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/152-乘积最大子数组.md	6071	11142d1bdccffb2f
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/153-寻找旋转排序数组中的最小值.md	8391	938a1b6f6a6617e6
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/155-最小栈.md	7646	1a99e37e99304fe6
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/160-相交链表.md	6368	79070e024b3ff5e2
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/169-多数元素.md	7334	e39101ac2d1a7e0d
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/17-电话号码的字母组合.md	6683	ec2c52a572e8ded6
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/189-轮转数组.md	7132	a4cef6f53fecee2f
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/19-删除链表的倒数第N个节点.md	6968	28ec21d6ac5f21b2
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/198-打家劫舍.md	5583	6606603b7aafeccf
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/199-二叉树的右视图.md	6864	067ff64b9dc1e8ca
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/2-两数相加.md	6435	3bc308e97b9f3631
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/20-有效的括号.md	6747	fb36560ee414b3a0
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/200-岛屿数量.md	8657	156e8ad73d8468f9
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/206-反转链表.md	6499	8ea3d460d60c5b6e
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/207-课程表.md	8472	ab08a62f6f965467
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/208-实现Trie.md	10630	7786e98fc5833438
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/21-合并两个有序链表.md	5954	70eda76e80bc4307
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/215-数组中的第K个最大元素.md	8068	acaf952ec1ee1514
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/22-括号生成.md	6276	3911159191cf45c1
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/226-翻转二叉树.md	5759	e5576e4d4abcfd5c
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/23-合并K个升序链表.md	8367	a0cc55769b774fb9
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/230-BST第K小的元素.md	8100	09f88c4f5894e3b2
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/234-回文链表.md	7611	30f62065464b91af
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/236-二叉树的最近公共祖先.md	8528	4f1eff5b2453a630
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/238-除自身以外数组的乘积.md	8235	6e515e5638fff8d4
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/239-滑动窗口最大值.md	9712	b80b3088690d1751
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/24-两两交换链表中的节点.md	5510	003930624d4f1e18
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/240-搜索二维矩阵II.md	9342	558481db736ed626
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/25-K个一组翻转链表.md	7525	cb817b34b0c9e261
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/279-完全平方数.md	5520	a72607c9028f899b
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/283-移动零.md	6897	ca3e904ba681c958
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/287-寻找重复数.md	9126	f978e3263ad56607
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/295-数据流的中位数.md	9377	8b0b2d79b8b62afc
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/3-无重复字符的最长子串.md	7977	042715a850ef8eb5
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/300-最长递增子序列.md	7226	82ad2e205b9f2ac3
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/31-下一个排列.md	7624	b94074a798dbec0b
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/32-最长有效括号.md	7003	201ac78f5d0ce426
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/322-零钱兑换.md	5950	71a35f2594134c06
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/33-搜索旋转排序数组.md	8868	78f1ad512544eeb0
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/34-在排序数组中查找元素首末位置.md	7982	b51d6454cb4be0cb
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/347-前K个高频元素.md	7884	7a2c3c052d0a1349
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/35-搜索插入位置.md	6607	26f2c19d97709546
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/39-组合总和.md	7976	898db4b5dc6247db
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/394-字符串解码.md	8136	e663d9490506d750
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/4-寻找两个正序数组的中位数.md	9391	4958cdd47c89c7e9
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/41-缺失的第一个正数.md	9513	d83a97ceeae6b9ea
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/416-分割等和子集.md	5894	ad4b5c7a9e76aaa3
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/42-接雨水.md	9076	260226f11fb5efdc
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/437-路径总和III.md	8110	e4b7b5ef0129042f
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/438-找到字符串中所有字母异位词.md	8984	91012a5fe8597b20
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/45-跳跃游戏II.md	7462	c8446f44d61f7a03
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/02-Wiki/题目详解/46-全排列.md	7155	742cb6307057666d
