skill	symbol	status	matched_source_files
cmake-source-discovery-incremental-build-audit	project	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/文档/05 系统集成与性能/5.1 模型轻量化与参数压缩.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeCache.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeFiles/LSTR.dir/DependInfo.cmake;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeCache.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/DependInfo.cmake;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeFiles/lime.dir/DependInfo.cmake;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeFiles/lime.dir/DependInfo.cmake
cmake-source-discovery-incremental-build-audit	CMAKE_CXX_STANDARD	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt
cmake-source-discovery-incremental-build-audit	CMAKE_BUILD_TYPE	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeCache.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeCache.txt
cmake-source-discovery-incremental-build-audit	CMAKE_CXX_FLAGS	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeCache.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeCache.txt
cmake-source-discovery-incremental-build-audit	find_package	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt
cmake-source-discovery-incremental-build-audit	include_directories	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt
cmake-source-discovery-incremental-build-audit	link_directories	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt
cmake-source-discovery-incremental-build-audit	file(GLOB)	review-label	
cmake-source-discovery-incremental-build-audit	CONFIGURE_DEPENDS	review-label	
cmake-source-discovery-incremental-build-audit	add_subdirectory	review-label	
cmake-source-discovery-incremental-build-audit	add_executable	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt
cmake-source-discovery-incremental-build-audit	add_library	review-label	
cmake-source-discovery-incremental-build-audit	target_sources	review-label	
cmake-source-discovery-incremental-build-audit	target_link_libraries	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt
cmake-source-discovery-incremental-build-audit	CMAKE_HOME_DIRECTORY	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeCache.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeCache.txt
cmake-source-discovery-incremental-build-audit	CMAKE_SOURCE_DIR	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeFiles/LSTR.dir/build.make;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeFiles/lime.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeFiles/lime.dir/build.make
cmake-source-discovery-incremental-build-audit	CMAKE_BINARY_DIR	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeFiles/LSTR.dir/build.make;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeFiles/lime.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeFiles/lime.dir/build.make
cmake-source-discovery-incremental-build-audit	CMAKE_GENERATOR	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeCache.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeCache.txt
cmake-source-discovery-incremental-build-audit	CMakeCache.txt	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeCache.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeCache.txt
cmake-source-discovery-incremental-build-audit	DependInfo.cmake	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeFiles/LSTR.dir/build.make;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeFiles/lime.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeFiles/lime.dir/build.make
cmake-source-discovery-incremental-build-audit	build.make	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeFiles/LSTR.dir/build.make;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeFiles/lime.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeFiles/lime.dir/build.make
cmake-source-discovery-incremental-build-audit	compiler_depend.make	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeFiles/LSTR.dir/build.make;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeFiles/lime.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeFiles/lime.dir/build.make
cmake-source-discovery-incremental-build-audit	flags.make	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeFiles/LSTR.dir/build.make;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeFiles/lime.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeFiles/lime.dir/build.make
cmake-source-discovery-incremental-build-audit	link.txt	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeFiles/LSTR.dir/build.make;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeFiles/lime.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeFiles/lime.dir/build.make
cmake-source-discovery-incremental-build-audit	CMakeFiles/<target>.dir/<source>.cpp.o	review-label	
cmake-source-discovery-incremental-build-audit	<source>.cpp.o.d	review-label	
cmake-source-discovery-incremental-build-audit	RPATH	exact	projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeCache.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeCache.txt
cmake-source-discovery-incremental-build-audit	libonnxruntime.so	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeFiles/LSTR.dir/build.make;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeFiles/LSTR.dir/link.txt
cmake-source-discovery-incremental-build-audit	ncnn	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/文档/05 系统集成与性能/5.1 模型轻量化与参数压缩.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeCache.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/DependInfo.cmake;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/build.make;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeFiles/unet_ncnn.dir/link.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/src/unet.cpp
cmake-source-discovery-incremental-build-audit	OpenCV	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/文档/05 系统集成与性能/5.1 模型轻量化与参数压缩.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/build/CMakeCache.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/lime.cpp;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/lime_opt.cpp
cmake-source-discovery-incremental-build-audit	OpenMP	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/文档/05 系统集成与性能/5.1 模型轻量化与参数压缩.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeCache.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeFiles/lime.dir/DependInfo.cmake;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/build/CMakeFiles/lime.dir/build.make;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/xinlime.cpp
embedded-arm-linux-boot-chain	BootROM	review-label	
embedded-arm-linux-boot-chain	SPL	exact	projects/嵌入式八股/3. 杂七杂八/5. 嵌入式 ARM Linux 系统架构全解：一文讲透硬件、U-Boot、内核、驱动与应用.md;projects/嵌入式八股/糯叽叽八股/11 Bootloader与Rootfs.md
embedded-arm-linux-boot-chain	DDR	exact	projects/嵌入式八股/3. 杂七杂八/5. 嵌入式 ARM Linux 系统架构全解：一文讲透硬件、U-Boot、内核、驱动与应用.md;projects/嵌入式八股/糯叽叽八股/11 Bootloader与Rootfs.md
embedded-arm-linux-boot-chain	U-Boot	exact	projects/嵌入式八股/3. 杂七杂八/5. 嵌入式 ARM Linux 系统架构全解：一文讲透硬件、U-Boot、内核、驱动与应用.md;projects/嵌入式八股/糯叽叽八股/11 Bootloader与Rootfs.md
embedded-arm-linux-boot-chain	device tree	exact	projects/嵌入式八股/3. 杂七杂八/5. 嵌入式 ARM Linux 系统架构全解：一文讲透硬件、U-Boot、内核、驱动与应用.md;projects/嵌入式八股/糯叽叽八股/11 Bootloader与Rootfs.md
embedded-arm-linux-boot-chain	bootargs	exact	projects/嵌入式八股/3. 杂七杂八/5. 嵌入式 ARM Linux 系统架构全解：一文讲透硬件、U-Boot、内核、驱动与应用.md;projects/嵌入式八股/糯叽叽八股/11 Bootloader与Rootfs.md
embedded-arm-linux-boot-chain	rootfs	exact	projects/嵌入式八股/3. 杂七杂八/5. 嵌入式 ARM Linux 系统架构全解：一文讲透硬件、U-Boot、内核、驱动与应用.md;projects/嵌入式八股/糯叽叽八股/11 Bootloader与Rootfs.md
embedded-arm-linux-boot-chain	init	exact	projects/嵌入式八股/3. 杂七杂八/5. 嵌入式 ARM Linux 系统架构全解：一文讲透硬件、U-Boot、内核、驱动与应用.md;projects/嵌入式八股/糯叽叽八股/11 Bootloader与Rootfs.md
embedded-arm-linux-boot-chain	PID1	review-label	
embedded-arm-linux-boot-chain	serial console	review-label	
embedded-arm-linux-boot-chain	last-known-good-stage	review-label	
embedded-bus-selection	USART	exact	projects/RTOS项目/源码/BSP/DMA/dma.c;projects/RTOS项目/源码/SYSTEM/usart/usart.c;projects/嵌入式八股/3. 杂七杂八/1.【图解】5种总线协议：UART、RS232、RS485、I²C、SPI.md;projects/嵌入式八股/3. 杂七杂八/12. 图解 UART 异步通信.md;projects/嵌入式八股/糯叽叽八股/08 通讯协议.md
embedded-bus-selection	DMA	exact	projects/RTOS项目/源码/BSP/DMA/dma.c;projects/RTOS项目/源码/STM32F10x_FWLib/src/stm32f10x_i2c.c;projects/RTOS项目/源码/STM32F10x_FWLib/src/stm32f10x_spi.c;projects/RTOS项目/源码/SYSTEM/usart/usart.c;projects/嵌入式八股/3. 杂七杂八/1.【图解】5种总线协议：UART、RS232、RS485、I²C、SPI.md;projects/嵌入式八股/3. 杂七杂八/12. 图解 UART 异步通信.md;projects/嵌入式八股/3. 杂七杂八/2. 从 0 和 1 一步步推导 MCU 通信- 吃透 UART-SPI-I²C-CAN 底层原理.md;projects/嵌入式八股/糯叽叽八股/08 通讯协议.md
embedded-bus-selection	SPI	exact	projects/RTOS项目/源码/STM32F10x_FWLib/src/stm32f10x_spi.c;projects/嵌入式八股/3. 杂七杂八/1.【图解】5种总线协议：UART、RS232、RS485、I²C、SPI.md;projects/嵌入式八股/3. 杂七杂八/12. 图解 UART 异步通信.md;projects/嵌入式八股/3. 杂七杂八/2. 从 0 和 1 一步步推导 MCU 通信- 吃透 UART-SPI-I²C-CAN 底层原理.md;projects/嵌入式八股/糯叽叽八股/08 通讯协议.md
embedded-bus-selection	I2C	exact	projects/RTOS项目/源码/STM32F10x_FWLib/src/stm32f10x_i2c.c;projects/嵌入式八股/3. 杂七杂八/1.【图解】5种总线协议：UART、RS232、RS485、I²C、SPI.md;projects/嵌入式八股/3. 杂七杂八/12. 图解 UART 异步通信.md;projects/嵌入式八股/糯叽叽八股/08 通讯协议.md
embedded-bus-selection	UART	exact	projects/嵌入式八股/3. 杂七杂八/1.【图解】5种总线协议：UART、RS232、RS485、I²C、SPI.md;projects/嵌入式八股/3. 杂七杂八/12. 图解 UART 异步通信.md;projects/嵌入式八股/3. 杂七杂八/2. 从 0 和 1 一步步推导 MCU 通信- 吃透 UART-SPI-I²C-CAN 底层原理.md;projects/嵌入式八股/糯叽叽八股/08 通讯协议.md
embedded-bus-selection	RS232	exact	projects/嵌入式八股/3. 杂七杂八/1.【图解】5种总线协议：UART、RS232、RS485、I²C、SPI.md;projects/嵌入式八股/3. 杂七杂八/12. 图解 UART 异步通信.md
embedded-bus-selection	RS485	exact	projects/嵌入式八股/3. 杂七杂八/1.【图解】5种总线协议：UART、RS232、RS485、I²C、SPI.md;projects/嵌入式八股/3. 杂七杂八/12. 图解 UART 异步通信.md;projects/嵌入式八股/3. 杂七杂八/2. 从 0 和 1 一步步推导 MCU 通信- 吃透 UART-SPI-I²C-CAN 底层原理.md
embedded-bus-selection	CAN	exact	projects/嵌入式八股/3. 杂七杂八/1.【图解】5种总线协议：UART、RS232、RS485、I²C、SPI.md;projects/嵌入式八股/3. 杂七杂八/2. 从 0 和 1 一步步推导 MCU 通信- 吃透 UART-SPI-I²C-CAN 底层原理.md;projects/嵌入式八股/糯叽叽八股/08 通讯协议.md
embedded-c-storage-linkage-audit	.data	exact	projects/RTOS项目/源码/USER/PWM.map;projects/嵌入式八股/糯叽叽八股/01 C语言.md
embedded-c-storage-linkage-audit	.bss	exact	projects/RTOS项目/源码/USER/PWM.map;projects/嵌入式八股/糯叽叽八股/01 C语言.md
embedded-c-storage-linkage-audit	extern	exact	projects/嵌入式八股/糯叽叽八股/01 C语言.md
embedded-c-storage-linkage-audit	static	exact	projects/嵌入式八股/糯叽叽八股/01 C语言.md;projects/嵌入式八股/糯叽叽八股/04 操作系统.md
embedded-c-storage-linkage-audit	volatile	exact	projects/嵌入式八股/糯叽叽八股/01 C语言.md
embedded-c-storage-linkage-audit	Reset_Handler	exact	projects/RTOS项目/源码/CORE/startup_stm32f10x_md.s;projects/RTOS项目/源码/USER/PWM.map
embedded-c-storage-linkage-audit	SystemInit	exact	projects/RTOS项目/源码/CORE/startup_stm32f10x_md.s;projects/RTOS项目/源码/USER/PWM.map
embedded-c-storage-linkage-audit	__main	exact	projects/RTOS项目/源码/CORE/startup_stm32f10x_md.s;projects/RTOS项目/源码/USER/PWM.map
embedded-c-storage-linkage-audit	__initial_sp	exact	projects/RTOS项目/源码/CORE/startup_stm32f10x_md.s;projects/RTOS项目/源码/USER/PWM.map
embedded-c-storage-linkage-audit	__heap_base	exact	projects/RTOS项目/源码/CORE/startup_stm32f10x_md.s
embedded-c-storage-linkage-audit	__heap_limit	exact	projects/RTOS项目/源码/CORE/startup_stm32f10x_md.s
embedded-c-storage-linkage-audit	ER_IROM1	exact	projects/RTOS项目/源码/OBJ/PWM.sct;projects/RTOS项目/源码/USER/PWM.map
embedded-c-storage-linkage-audit	RW_IRAM1	exact	projects/RTOS项目/源码/OBJ/PWM.sct;projects/RTOS项目/源码/USER/PWM.map
embedded-c-storage-linkage-audit	+RW	exact	projects/RTOS项目/源码/OBJ/PWM.sct
embedded-c-storage-linkage-audit	+ZI	exact	projects/RTOS项目/源码/OBJ/PWM.sct
embedded-c-storage-linkage-audit	Image Entry point	exact	projects/RTOS项目/源码/USER/PWM.map
embedded-c-storage-linkage-audit	Total RW Size	review-label	
